curveY,curveX,end point?,Place Count,place id,Rank,startY
13.884895852,128.775063291,伪,32,462,12,-28
-13.058502711,11.749582278,伪,30,548,15,-54
18.000000019,143.445974684,伪,39,309,8,18
18.010611210,89.378835443,伪,39,307,8,18
-24.235607021,154.729113924,伪,31,499,13,-37.5
25.424999995,-83.053772152,伪,30,566,16,-60
51.689235500,86.260113924,伪,41,174,4,54
19.725676089,8.000518987,伪,35,341,9,6
-27.981808715,17.833430380,伪,53,41,1,70
-53.947944225,99.463658228,伪,30,551,15,-54
25.725000002,-86.057797468,伪,42,100,3,60.5
18.000000004,153.126202532,伪,39,306,8,18
-27.463460668,155.645088608,伪,31,496,13,-37.5
16.304019104,-33.478227848,伪,43,69,2,65.5
53.999999982,166.591189873,伪,41,146,4,54
1.176758798,-1.877088608,伪,39,244,6,38
20.719866069,5.775594937,伪,31,477,13,-37.5
65.499999862,170,伪,43,76,2,65.5
8.704888362,29.694025316,伪,42,116,3,60.5
69.999989036,132.228506329,伪,53,5,1,70
15.556021257,128.180860759,伪,42,133,3,60.5
-43.017666811,73.877240506,伪,30,528,14,-46.5
-7.948062902,38.962658228,伪,31,491,13,-37.5
7.674002188,-32.729316456,伪,39,279,7,28.5
-43.283417493,61.321063291,伪,30,501,14,-46.5
-24.555420113,162.031341772,伪,32,468,12,-28
17.186464695,159.660126582,伪,39,333,8,18
